timestamp_s,x_m,y_m,z_m,pixel_u,pixel_v,confidence,snr,circularity,depth_source,detected
1777992399.902911,-0.497533,0.955564,2.265000,327.106384,423.414886,0.630062,4.663605,0.841974,depth,1
1777992399.914036,-0.500169,0.960627,2.277000,327.106384,423.414886,0.627588,4.539943,0.841974,depth,1
1777992399.925161,-0.500169,0.960627,2.277000,327.106384,423.414886,0.628259,4.573483,0.841974,depth,1
1777992399.936286,-0.500169,0.960627,2.277000,327.106384,423.414886,0.628758,4.598413,0.841974,depth,1
1777992399.947410,-0.494496,0.951128,2.253000,327.183136,423.534790,0.633458,4.625100,0.852391,depth,1
1777992399.958535,-0.497533,0.955564,2.265000,327.106384,423.414886,0.629030,4.612010,0.841974,depth,1
1777992399.969660,-0.499290,0.958939,2.273000,327.106384,423.414886,0.629490,4.635045,0.841974,depth,1
1777992399.980784,-0.505031,0.971392,2.301000,327.183136,423.534790,0.633255,4.614934,0.852391,depth,1
1777992399.991910,-0.501926,0.964002,2.285000,327.106384,423.414886,0.629745,4.647771,0.841974,depth,1
1777992400.003034,-0.497180,0.955628,2.265000,327.173615,423.427094,0.591461,3.402665,0.808518,depth,1
1777992400.014158,-0.494897,0.950502,2.253000,327.106384,423.414886,0.628861,4.603584,0.841974,depth,1
1777992400.025283,-0.508955,0.977502,2.317000,327.106384,423.414886,0.628953,4.608158,0.841974,depth,1
1777992400.036408,-0.499290,0.958939,2.273000,327.106384,423.414886,0.628709,4.595992,0.841974,depth,1
1777992400.047532,-0.494018,0.948814,2.249000,327.106384,423.414886,0.628623,4.591661,0.841974,depth,1
1777992400.058657,-0.500169,0.960627,2.277000,327.106384,423.414886,0.629419,4.631458,0.841974,depth,1
1777992400.069782,-0.496654,0.953877,2.261000,327.106384,423.414886,0.629875,4.654258,0.841974,depth,1
1777992400.080906,-0.497533,0.955564,2.265000,327.106384,423.414886,0.628724,4.596714,0.841974,depth,1
1777992400.092031,-0.501519,0.964637,2.285000,327.183136,423.534790,0.631185,4.511429,0.852391,depth,1
1777992400.103156,-0.499290,0.958939,2.273000,327.106384,423.414886,0.629390,4.630032,0.841974,depth,1
1777992400.114280,-0.499290,0.958939,2.273000,327.106384,423.414886,0.628042,4.562624,0.841974,depth,1
1777992400.125405,-0.497533,0.955564,2.265000,327.106384,423.414886,0.627949,4.557954,0.841974,depth,1
1777992400.136529,-0.497533,0.955564,2.265000,327.106384,423.414886,0.628836,4.602338,0.841974,depth,1
1777992400.147654,-0.503683,0.967377,2.293000,327.106384,423.414886,0.629038,4.612435,0.841974,depth,1
1777992400.158779,-0.501926,0.964002,2.285000,327.106384,423.414886,0.628960,4.608531,0.841974,depth,1
1777992400.181028,-0.501926,0.964002,2.285000,327.106384,423.414886,0.629247,4.622870,0.841974,depth,1
1777992400.192153,-0.503683,0.967377,2.293000,327.106384,423.414886,0.629324,4.626742,0.841974,depth,1
1777992400.203277,-0.500169,0.960627,2.277000,327.106384,423.414886,0.628436,4.582314,0.841974,depth,1
1777992400.214401,-0.496252,0.954505,2.261000,327.183136,423.534790,0.632674,4.585892,0.852391,depth,1
1777992400.225527,-0.502805,0.965689,2.289000,327.106384,423.414886,0.628454,4.583210,0.841974,depth,1
1777992400.236651,-0.496654,0.953877,2.261000,327.106384,423.414886,0.628245,4.572792,0.841974,depth,1
