timestamp_s,depth_m,pixel_u,pixel_v
1777992383.201569,2.285000,344.136963,298.915833
1777992383.212688,2.289000,342.869873,298.402863
1777992383.223807,2.285000,341.431793,297.991364
1777992383.234926,2.277000,340.050568,297.516846
1777992383.246045,2.293000,338.639648,296.758545
1777992383.257164,2.313000,337.047882,296.051575
1777992383.268282,2.325000,335.554962,295.304504
1777992383.279402,2.301000,334.000000,294.500000
1777992383.290520,2.301000,332.337067,293.348236
1777992383.301638,2.305000,330.826874,292.383057
1777992383.312758,2.301000,329.032196,291.352264
1777992383.323876,2.317000,327.426147,290.094696
1777992383.334995,2.293000,325.655243,288.655243
1777992383.346114,2.301000,324.022980,287.327576
1777992383.357232,2.289000,322.356201,285.735229
1777992383.368351,2.277000,320.691864,284.029083
1777992383.379470,2.249000,319.063507,282.315491
1777992383.390588,2.242000,317.435883,280.493591
1777992383.401706,2.313000,315.941559,278.480530
1777992383.412826,2.273000,314.346069,276.390656
1777992383.423944,2.246000,312.918915,274.240997
1777992383.435062,2.301000,311.519531,271.694244
1777992383.446180,2.293000,310.285034,269.521729
1777992383.457299,2.325000,309.092468,266.929443
1777992383.468417,2.313000,307.851318,264.362122
1777992383.479536,2.375000,306.866669,261.818665
1777992383.490655,2.337000,305.899994,258.930756
1777992383.501773,2.350000,304.953125,256.054688
1777992383.512891,2.350000,304.100006,253.274994
1777992383.524010,2.371000,303.640106,250.365784
1777992383.535128,2.363000,302.964294,247.247025
1777992383.546246,2.358000,302.540222,244.298843
1777992383.557365,2.363000,302.083344,241.209869
1777992383.568483,2.371000,302.000000,238.187881
1777992383.579601,2.367000,301.751404,235.000000
1777992383.590719,2.380000,301.834808,231.758118
1777992383.601837,2.333000,301.806274,228.646729
1777992383.612955,2.350000,302.137085,225.660431
1777992383.624074,2.342000,302.313904,222.666672
1777992383.635192,2.342000,302.471161,219.685898
1777992383.646310,2.358000,303.000000,216.537735
1777992383.657428,2.358000,303.471161,213.685898
1777992383.668547,2.358000,304.061859,210.656357
1777992383.679667,2.371000,304.607025,207.785965
1777992383.690788,2.350000,305.684601,205.222229
1777992383.701908,2.384000,306.322357,202.567764
1777992383.713027,2.380000,307.088135,199.662842
1777992383.724148,2.371000,308.102264,197.420456
1777992383.735268,2.346000,309.150177,194.827835
1777992383.746388,2.375000,310.308929,192.451218
1777992383.757509,2.363000,311.600830,190.436218
1777992383.768628,2.354000,312.865906,188.318008
1777992383.779748,2.358000,313.886261,186.403915
1777992383.790869,2.354000,315.254669,184.868912
1777992383.801988,2.354000,316.500000,183.000000
1777992383.813108,2.375000,317.651154,181.705429
1777992383.824228,2.371000,319.174072,180.262970
1777992383.835348,2.354000,320.348480,179.000000
1777992383.846467,2.363000,321.864349,178.000000
1777992383.857588,2.354000,322.940491,177.047623
1777992383.868707,2.380000,324.371643,176.314178
1777992383.879827,2.354000,325.789032,175.953583
1777992383.890946,2.380000,326.937500,175.024994
1777992383.902067,2.354000,328.187500,174.925003
1777992383.913186,2.358000,329.432892,174.354980
1777992383.924305,2.380000,330.644440,173.924438
1777992383.935426,2.354000,332.064117,173.948715
1777992383.946545,2.342000,333.429230,174.132416
1777992383.957664,2.358000,334.500000,174.000000
1777992383.968785,2.354000,335.500000,174.000000
1777992383.979904,2.380000,336.789032,173.877640
1777992383.991024,2.358000,337.781738,173.952377
1777992384.002144,2.437000,338.919678,173.883530
1777992384.013263,2.358000,339.919678,174.116470
1777992384.024382,2.380000,340.844971,174.000000
1777992384.035502,2.375000,341.900391,174.314178
1777992384.046621,2.367000,342.829620,174.444443
1777992384.057740,2.371000,343.768951,174.753784
1777992384.068861,2.363000,344.705414,174.724808
1777992384.079980,2.371000,345.218262,175.047623
1777992384.091099,2.358000,345.940338,174.961411
1777992384.102219,2.342000,346.829620,175.196289
1777992384.113338,2.358000,347.261169,175.395187
1777992384.124457,2.358000,347.929810,175.617538
1777992384.135577,2.337000,348.447815,175.693604
1777992384.146696,2.342000,348.906799,175.706100
1777992384.157815,2.354000,349.393646,176.177780
1777992384.168935,2.367000,349.744904,176.459183
1777992384.180053,2.350000,349.929810,176.617538
1777992384.191172,2.363000,350.326599,176.632996
1777992384.202292,2.342000,350.557678,176.625000
1777992384.213411,2.333000,350.838593,177.105270
1777992384.224530,2.321000,351.000000,177.272110
1777992384.235650,2.325000,350.863953,177.500000
1777992384.246768,2.354000,350.929810,177.617538
1777992384.257887,2.350000,351.000000,177.727890
1777992384.269007,2.346000,350.979584,177.908157
1777992384.280126,2.325000,351.000000,178.179993
1777992384.291244,2.313000,350.863953,178.500000
1777992384.302364,2.337000,350.735291,178.500000
1777992384.313483,2.329000,350.498383,178.828476
1777992384.324601,2.358000,350.270630,179.359741
1777992384.335720,2.367000,350.070190,179.382462
1777992384.346839,2.350000,349.863953,179.500000
1777992384.357958,2.375000,349.617645,179.578430
1777992384.369076,2.346000,349.205383,179.612793
1777992384.380196,2.337000,348.979156,180.184021
1777992384.391315,2.325000,348.829620,180.196289
1777992384.402433,2.354000,348.070190,180.382462
1777992384.413553,2.375000,347.863953,180.500000
1777992384.424671,2.358000,347.326599,180.592590
1777992384.435789,2.337000,347.000000,181.000000
1777992384.446909,2.358000,346.420441,181.053024
1777992384.458027,2.354000,345.906799,181.293900
1777992384.469145,2.384000,345.052094,181.215271
1777992384.480265,2.346000,344.874542,181.433685
1777992384.491383,2.358000,344.000000,181.500000
1777992384.502501,2.428000,343.261169,181.604813
1777992384.513620,2.337000,342.829620,181.803711
1777992384.524739,2.367000,342.000000,182.098480
1777992384.535857,2.384000,341.022217,182.196289
1777992384.546976,2.354000,340.387695,182.434784
1777992384.558094,2.346000,339.508606,182.604813
1777992384.569212,2.346000,338.855957,182.930038
1777992384.580332,2.317000,337.941864,183.147293
1777992384.591449,2.367000,336.829620,183.555557
1777992384.602568,2.337000,335.940491,184.047623
1777992384.613687,2.380000,334.874542,184.433685
1777992384.624805,2.329000,333.864349,185.000000
1777992384.635923,2.354000,332.563843,185.489365
1777992384.647042,2.337000,331.348480,186.000000
1777992384.658160,2.354000,330.059509,186.952377
1777992384.669281,2.342000,328.956848,187.631378
1777992384.680401,2.342000,327.563843,188.489365
1777992384.691521,2.367000,326.355560,189.544449
1777992384.702641,2.363000,324.959259,190.714813
1777992384.713761,2.337000,323.620087,191.874557
1777992384.724881,2.350000,322.229645,193.118515
1777992384.736001,2.337000,320.722229,194.577774
1777992384.747121,2.350000,319.433319,196.022217
1777992384.758241,2.358000,318.172150,197.849823
1777992384.769360,2.358000,316.756561,199.584274
1777992384.780480,2.350000,315.563782,201.399170
1777992384.791601,2.367000,314.404175,203.462494
1777992384.802720,2.358000,313.308929,205.451218
1777992384.813840,2.342000,312.291656,207.524994
1777992384.824960,2.397000,310.950012,209.679169
1777992384.836080,2.371000,310.000000,211.918610
1777992384.847199,2.367000,309.591766,214.441940
1777992384.858319,2.350000,308.622223,216.681488
1777992384.869439,2.354000,308.172150,219.333328
1777992384.880558,2.333000,307.612793,221.582489
1777992384.891679,2.342000,307.358429,224.272400
1777992384.902798,2.337000,306.785950,226.607025
1777992384.913917,2.354000,306.685822,229.291183
1777992384.925037,2.375000,306.622711,232.073257
1777992384.936157,2.346000,306.612793,234.582489
1777992384.947276,2.342000,306.745880,237.339935
1777992384.958396,2.354000,307.064728,239.763748
1777992384.969515,2.367000,307.500000,242.500000
1777992384.980634,2.375000,307.745880,245.201324
1777992384.991754,2.354000,308.453705,247.555557
1777992385.002873,2.342000,308.855072,250.298553
1777992385.013993,2.346000,309.367615,252.744553
1777992385.025113,2.371000,310.045441,255.269699
1777992385.036232,2.424000,310.714783,257.931274
1777992385.047351,2.424000,311.346039,260.393646
1777992385.058471,2.358000,312.336700,262.882141
1777992385.069590,2.358000,313.045441,265.418182
1777992385.080709,2.350000,313.931030,267.807465
1777992385.091829,2.337000,314.933319,270.174988
1777992385.102948,2.337000,316.054199,272.626007
1777992385.114067,2.317000,316.899994,274.930756
