t_s,frame_number,hw_ts_ms,host_dt_ms,missed_total
4.840,416,1777799535236.978,11.131,1
4.852,417,1777799535248.111,11.133,1
4.863,418,1777799535259.242,11.131,1
4.874,419,1777799535270.374,11.132,1
4.885,420,1777799535281.506,11.133,1
4.896,421,1777799535292.638,11.132,1
4.907,422,1777799535303.770,11.132,1
4.918,423,1777799535314.902,11.133,1
4.929,424,1777799535326.034,11.132,1
4.941,425,1777799535337.166,11.132,1
4.952,426,1777799535348.299,11.133,1
4.963,427,1777799535359.431,11.132,1
4.974,428,1777799535370.562,11.132,1
4.985,429,1777799535381.696,11.133,1
4.996,430,1777799535392.828,11.132,1
5.007,431,1777799535403.960,11.132,1
5.018,432,1777799535415.093,11.133,1
5.030,433,1777799535426.225,11.132,1
5.041,434,1777799535437.357,11.132,1
5.052,435,1777799535448.489,11.132,1
5.063,436,1777799535459.623,11.133,1
5.074,437,1777799535470.755,11.132,1
5.085,438,1777799535481.887,11.132,1
5.097,439,1777799535493.021,11.133,1
5.107,440,1777799535504.153,11.133,1
5.119,441,1777799535515.285,11.132,1
5.130,442,1777799535526.419,11.134,1
5.141,443,1777799535537.552,11.133,1
5.152,444,1777799535548.684,11.133,1
5.163,445,1777799535559.818,11.134,1
5.174,446,1777799535570.951,11.133,1
5.185,447,1777799535582.083,11.133,1
5.196,448,1777799535593.217,11.134,1
5.208,449,1777799535604.350,11.133,1
5.219,450,1777799535615.483,11.133,1
5.230,451,1777799535626.617,11.134,1
5.241,452,1777799535637.750,11.133,1
5.252,453,1777799535648.883,11.133,1
5.263,454,1777799535660.017,11.134,1
5.274,455,1777799535671.150,11.133,1
5.286,456,1777799535682.283,11.133,1
5.297,457,1777799535693.417,11.134,1
5.308,458,1777799535704.550,11.133,1
5.319,459,1777799535715.684,11.133,1
5.330,460,1777799535726.818,11.134,1
5.341,461,1777799535737.951,11.133,1
5.353,462,1777799535749.085,11.134,1
5.364,463,1777799535760.219,11.134,1
5.374,464,1777799535771.353,11.134,1
5.386,465,1777799535782.486,11.134,1
5.397,466,1777799535793.621,11.135,1
5.408,467,1777799535804.754,11.134,1
5.419,468,1777799535815.888,11.134,1
5.430,469,1777799535827.022,11.135,1
5.441,470,1777799535838.156,11.134,1
5.452,471,1777799535849.290,11.134,1
5.463,472,1777799535860.424,11.134,1
5.475,473,1777799535871.550,11.126,1
5.486,474,1777799535882.676,11.126,1
5.497,475,1777799535893.802,11.126,1
5.508,476,1777799535904.930,11.127,1
5.519,477,1777799535916.056,11.126,1
5.530,478,1777799535927.182,11.126,1
5.541,479,1777799535938.310,11.127,1
5.552,480,1777799535949.436,11.126,1
5.564,481,1777799535960.562,11.126,1
5.575,482,1777799535971.689,11.127,1
5.586,483,1777799535982.815,11.126,1
5.597,484,1777799535993.942,11.126,1
5.608,485,1777799536005.069,11.127,1
5.619,486,1777799536016.195,11.126,1
5.630,487,1777799536027.321,11.126,1
5.641,488,1777799536038.448,11.127,1
5.653,489,1777799536049.575,11.126,1
5.664,490,1777799536060.701,11.126,1
5.675,491,1777799536071.828,11.127,1
5.686,492,1777799536082.954,11.126,1
5.697,493,1777799536094.080,11.126,1
5.708,494,1777799536105.208,11.127,1
5.719,495,1777799536116.334,11.126,1
5.731,496,1777799536127.460,11.126,1
5.742,497,1777799536138.587,11.127,1
5.753,498,1777799536149.713,11.126,1
5.764,499,1777799536160.839,11.126,1
5.775,500,1777799536171.967,11.127,1
5.786,501,1777799536183.093,11.126,1
5.797,502,1777799536194.219,11.126,1
5.808,503,1777799536205.346,11.127,1
5.820,504,1777799536216.472,11.126,1
5.831,505,1777799536227.598,11.126,1
5.842,506,1777799536238.726,11.127,1
5.853,507,1777799536249.852,11.126,1
5.864,508,1777799536260.978,11.126,1
5.875,509,1777799536272.105,11.127,1
5.886,510,1777799536283.231,11.126,1
5.897,511,1777799536294.357,11.126,1
5.909,512,1777799536305.484,11.127,1
5.920,513,1777799536316.611,11.126,1
5.931,514,1777799536327.737,11.126,1
5.942,515,1777799536338.863,11.126,1
5.953,516,1777799536349.990,11.127,1
5.964,517,1777799536361.116,11.126,1
5.975,518,1777799536372.242,11.126,1
5.986,519,1777799536383.369,11.127,1
5.998,520,1777799536394.495,11.126,1
6.009,521,1777799536405.622,11.126,1
6.020,522,1777799536416.749,11.127,1
6.031,523,1777799536427.875,11.126,1
6.042,524,1777799536439.001,11.126,1
6.053,525,1777799536450.128,11.127,1
6.064,526,1777799536461.254,11.126,1
6.076,527,1777799536472.380,11.126,1
6.087,528,1777799536483.507,11.127,1
6.098,529,1777799536494.633,11.126,1
6.109,530,1777799536505.759,11.126,1
6.120,531,1777799536516.886,11.127,1
6.131,532,1777799536528.012,11.126,1
6.142,533,1777799536539.138,11.126,1
6.153,534,1777799536550.266,11.127,1
6.165,535,1777799536561.392,11.126,1
6.176,536,1777799536572.518,11.126,1
6.187,537,1777799536583.645,11.127,1
6.198,538,1777799536594.771,11.126,1
6.209,539,1777799536605.897,11.126,1
6.220,540,1777799536617.024,11.127,1
6.231,541,1777799536628.150,11.126,1
6.242,542,1777799536639.276,11.126,1
6.254,543,1777799536650.403,11.127,1
6.265,544,1777799536661.529,11.126,1
6.276,545,1777799536672.655,11.126,1
6.287,546,1777799536683.782,11.127,1
6.298,547,1777799536694.908,11.126,1
6.309,548,1777799536706.034,11.126,1
6.320,549,1777799536717.161,11.127,1
6.331,550,1777799536728.287,11.126,1
6.342,551,1777799536739.413,11.126,1
6.354,552,1777799536750.540,11.127,1
6.365,553,1777799536761.667,11.126,1
6.376,554,1777799536772.792,11.126,1
6.387,555,1777799536783.918,11.126,1
6.398,556,1777799536795.045,11.127,1
6.409,557,1777799536806.171,11.126,1
6.420,558,1777799536817.297,11.126,1
6.431,559,1777799536828.424,11.127,1
6.443,560,1777799536839.550,11.126,1
6.454,561,1777799536850.677,11.126,1
6.465,562,1777799536861.803,11.127,1
6.476,563,1777799536872.930,11.126,1
6.487,564,1777799536884.056,11.126,1
6.499,565,1777799536895.183,11.127,1
6.510,566,1777799536906.310,11.126,1
6.532,568,1777799536928.563,22.254,2
6.543,569,1777799536939.689,11.126,2
