timestamp_s,depth_m,pixel_u,pixel_v
1777900762.119928,2.546000,413.616272,125.684105
1777900762.131057,2.531000,413.138000,124.912949
1777900762.142184,2.507000,411.993408,124.256577
1777900762.153311,2.581000,410.808167,122.913666
1777900762.164439,2.502000,409.288513,121.996101
1777900762.175566,2.766000,407.668945,120.920631
1777900762.186693,2.337000,406.476746,119.614342
1777900762.197822,2.442000,405.153259,118.155174
1777900762.208949,2.455000,403.500000,116.687737
1777900762.220076,2.581000,401.943817,114.767792
1777900762.231204,2.497000,400.244202,112.937614
1777900762.242331,2.488000,398.666656,111.079277
1777900762.253458,2.465000,397.256561,109.123596
1777900762.264586,2.479000,395.528412,106.926140
1777900762.275714,2.507000,393.826508,104.773880
1777900762.286841,2.474000,392.426147,102.303032
1777900762.297969,2.410000,390.720734,99.861259
1777900762.309096,2.460000,389.348877,97.286705
1777900762.320223,2.512000,387.865387,94.442307
1777900762.331351,2.502000,386.455750,91.697639
1777900762.342479,2.497000,385.191711,88.954224
1777900762.353606,2.479000,384.120697,86.056038
1777900762.375861,2.442000,382.368866,80.467216
1777900762.386988,2.424000,381.603424,77.544136
1777900762.398115,2.424000,380.966949,74.590912
1777900762.409243,2.442000,380.285919,71.706894
1777900762.420370,2.424000,379.707367,69.068855
1777900762.431498,2.419000,379.250427,66.130287
1777900762.442626,2.419000,379.050568,63.539326
1777900762.453753,2.410000,378.804596,61.011494
1777900762.464880,2.384000,378.568512,58.370144
1777900762.476008,2.419000,378.596588,56.218685
1777900762.487135,2.406000,378.608490,53.642059
1777900762.498262,2.371000,378.709961,51.545456
1777900762.509391,2.384000,379.000000,49.331001
1777900762.520518,2.442000,379.109558,47.317017
1777900762.531645,2.410000,379.535156,45.403629
1777900762.542773,2.410000,380.042267,43.500000
1777900762.553900,2.367000,380.306763,41.792271
1777900762.565027,2.380000,380.963226,40.188725
1777900762.576156,2.354000,381.320709,38.954544
1777900762.587283,2.375000,381.885712,37.542858
1777900762.598410,2.380000,382.323395,36.432835
1777900762.609539,2.380000,382.963226,35.188725
1777900762.620666,2.375000,383.583954,34.340851
1777900762.631793,2.384000,384.187347,33.493916
1777900762.642921,2.393000,384.658478,32.950821
1777900762.654049,2.410000,385.219757,32.066666
1777900762.665176,2.406000,385.776001,31.733334
1777900762.676304,2.354000,386.441040,31.476923
1777900762.698559,2.397000,387.312347,30.853018
1777900762.709687,2.384000,387.524597,30.743170
1777900762.720814,2.375000,387.832031,30.721785
1777900762.731942,2.397000,388.089050,30.781170
1777900762.743070,2.397000,388.253235,30.762274
1777900762.754197,2.350000,388.223053,30.984962
1777900762.765324,2.337000,388.288727,31.301838
1777900762.776453,2.342000,388.195923,31.720102
1777900762.787580,2.406000,388.068176,32.133839
1777900762.798707,2.393000,387.837158,32.577610
1777900762.809835,2.380000,387.640839,33.219639
1777900762.820963,2.358000,387.361755,33.808784
1777900762.832090,2.393000,387.065216,34.449276
1777900762.843218,2.367000,386.631042,35.300255
1777900762.854346,2.358000,386.309509,36.233334
1777900762.865473,2.406000,386.014923,37.161690
1777900762.876600,2.397000,385.685181,38.124340
1777900762.887728,2.367000,385.389313,39.132317
1777900762.898856,2.410000,385.063263,40.272507
1777900762.909983,2.410000,384.898560,41.471016
1777900762.921111,2.371000,384.523468,42.817284
1777900762.932239,2.358000,384.180939,44.047619
1777900762.943366,2.406000,384.061462,45.349880
1777900762.954494,2.406000,383.865723,46.781776
1777900762.965621,2.419000,383.726257,48.300220
1777900762.976749,2.442000,383.577026,49.871265
1777900762.987877,2.437000,383.342102,51.480263
1777900762.999004,2.424000,383.339966,53.379692
1777900763.010132,2.419000,383.218811,54.989777
1777900763.021260,2.410000,383.153687,56.716568
1777900763.032387,2.424000,383.122284,58.566074
1777900763.043515,2.406000,383.167603,60.403011
1777900763.054643,2.424000,383.188080,62.348232
1777900763.065770,2.406000,383.169342,64.163994
1777900763.065770,2.419000,383.169342,64.163994
1777900763.088026,2.380000,383.558838,68.137253
1777900763.099153,2.410000,383.622559,70.063728
1777900763.110280,2.437000,383.755127,72.078987
1777900763.121408,2.442000,384.279572,74.118279
1777900763.132536,2.465000,384.565277,76.058372
1777900763.143663,2.460000,385.149170,78.057838
1777900763.154792,2.497000,385.505463,80.129890
1777900763.165919,2.488000,386.058838,82.197716
1777900763.177046,2.507000,386.549988,84.029999
1777900763.188174,2.497000,387.428558,85.909866
1777900763.199301,2.479000,388.026306,87.849121
1777900763.210429,2.488000,388.705139,89.760071
1777900763.221557,2.479000,389.483521,91.598900
1777900763.232684,2.502000,390.427765,93.461113
1777900763.243812,2.507000,391.273590,95.194603
1777900763.254939,2.512000,392.102722,97.063957
1777900763.266067,2.502000,392.940704,98.750511
1777900763.277194,2.493000,394.000000,100.500000
1777900763.288322,2.474000,395.039215,102.052940
1777900763.299450,2.460000,396.028076,103.728462
1777900763.310577,2.488000,396.850464,105.209007
1777900763.321705,2.493000,397.782532,106.868095
1777900763.332833,2.581000,398.719025,108.362999
1777900763.343960,2.556000,399.556183,109.876404
1777900763.355088,2.596000,400.758545,111.396393
1777900763.366216,2.479000,401.556183,112.876404
1777900763.377343,2.455000,402.619049,114.319443
1777900763.388470,2.483000,403.644714,115.586830
1777900763.399599,2.455000,404.586212,117.051727
1777900763.410726,2.556000,405.567688,118.383835
1777900763.421853,2.622000,406.467102,119.552635
1777900763.432982,2.488000,407.662872,120.651512
1777900763.444109,2.561000,408.784943,121.453766
1777900763.455236,2.622000,409.917816,122.513702
1777900763.466364,2.493000,410.975311,123.744858
1777900763.477492,2.479000,411.489349,124.606384
1777900763.488619,2.512000,412.054871,125.650406
1777900763.499747,2.627000,412.811798,126.369614
1777900763.510875,2.850000,413.751282,126.743591
1777900763.522002,2.571000,415.047974,127.122299
1777900763.533130,2.358000,416.549011,126.758171
1777900763.544258,2.465000,417.451599,127.838707
1777900763.555385,2.502000,417.923615,128.111115
1777900763.566513,2.531000,418.232544,128.707367
