timestamp_s,x_m,y_m,z_m,pixel_u,pixel_v,confidence,snr,circularity,depth_source,detected
1777901230.007933,-0.298294,0.106761,2.670000,373.659760,258.708038,0.607938,3.023031,0.868692,depth,1
1777901230.019061,-0.297289,0.106536,2.665000,373.731934,258.703949,0.602965,3.014020,0.856710,depth,1
1777901230.030188,-0.300081,0.107401,2.686000,373.659760,258.708038,0.607738,3.013047,0.868692,depth,1
1777901230.041315,-0.299421,0.106346,2.681000,373.676056,258.570435,0.613570,3.031470,0.882351,depth,1
1777901230.052442,-0.301326,0.107344,2.697000,373.657135,258.628571,0.608433,3.023181,0.869924,depth,1
1777901230.063569,-0.297181,0.106178,2.665000,373.749420,258.645966,0.607548,3.003549,0.868692,depth,1
1777901230.074697,-0.298080,0.106377,2.670000,373.694244,258.645966,0.607822,3.017254,0.868692,depth,1
1777901230.085824,-0.298404,0.106936,2.675000,373.731934,258.703949,0.602916,3.011599,0.856710,depth,1
1777901230.096951,-0.297847,0.106736,2.670000,373.731934,258.703949,0.602915,3.011517,0.856710,depth,1
1777901230.108079,-0.297522,0.106178,2.665000,373.694244,258.645966,0.608169,3.034623,0.868692,depth,1
1777901230.119206,-0.297847,0.106736,2.670000,373.731934,258.703949,0.603042,3.017898,0.856710,depth,1
1777901230.130333,-0.299319,0.106501,2.675000,373.584503,258.633789,0.613463,3.026138,0.882351,depth,1
1777901230.141461,-0.296620,0.106296,2.659000,373.731934,258.703949,0.602864,3.008988,0.856710,depth,1
1777901230.152588,-0.300859,0.107815,2.697000,373.731934,258.703949,0.602911,3.011342,0.856710,depth,1
1777901230.163715,-0.298193,0.105910,2.670000,373.676056,258.570435,0.613490,3.027476,0.882351,depth,1
1777901230.174843,-0.297289,0.106536,2.665000,373.731934,258.703949,0.602747,3.003162,0.856710,depth,1
1777901230.185970,-0.298404,0.106936,2.675000,373.731934,258.703949,0.603016,3.016613,0.856710,depth,1
1777901230.197097,-0.300081,0.107401,2.686000,373.659760,258.708038,0.607644,3.008342,0.868692,depth,1
1777901230.208225,-0.297289,0.106536,2.665000,373.731934,258.703949,0.602772,3.004387,0.856710,depth,1
1777901230.219352,-0.300301,0.107616,2.692000,373.731934,258.703949,0.603412,3.036372,0.856710,depth,1
1777901230.230479,-0.297289,0.106536,2.665000,373.731934,258.703949,0.603407,3.036160,0.856710,depth,1
1777901230.241607,-0.297289,0.106536,2.665000,373.731934,258.703949,0.602960,3.013786,0.856710,depth,1
1777901230.252734,-0.299074,0.107176,2.681000,373.731934,258.703949,0.604098,3.070696,0.856710,depth,1
1777901230.263861,-0.297847,0.106736,2.670000,373.731934,258.703949,0.603408,3.036188,0.856710,depth,1
1777901230.274989,-0.297081,0.105832,2.659000,373.657135,258.628571,0.608641,3.033568,0.869924,depth,1
1777901230.286116,-0.298965,0.106815,2.681000,373.749420,258.645966,0.608008,3.026537,0.868692,depth,1
1777901230.297243,-0.297751,0.106070,2.665000,373.657135,258.628571,0.608141,3.008554,0.869924,depth,1
1777901230.308371,-0.298404,0.106936,2.675000,373.731934,258.703949,0.602877,3.009643,0.856710,depth,1
1777901230.319498,-0.298759,0.106302,2.670000,373.584503,258.633789,0.613353,3.020605,0.882351,depth,1
1777901230.330625,-0.298404,0.106936,2.675000,373.731934,258.703949,0.603112,3.021405,0.856710,depth,1
1777901230.341753,-0.299632,0.107376,2.686000,373.731934,258.703949,0.603056,3.018566,0.856710,depth,1
1777901230.352880,-0.300081,0.107401,2.686000,373.659760,258.708038,0.608236,3.037952,0.868692,depth,1
1777901230.364007,-0.297735,0.106562,2.665000,373.659760,258.708038,0.608136,3.032974,0.868692,depth,1
1777901230.375134,-0.297847,0.106736,2.670000,373.731934,258.703949,0.602591,2.995346,0.856710,depth,1
1777901230.386261,-0.299074,0.107176,2.681000,373.731934,258.703949,0.603206,3.026080,0.856710,depth,1
1777901230.397388,-0.297289,0.106536,2.665000,373.731934,258.703949,0.603004,3.015984,0.856710,depth,1
1777901230.408517,-0.300859,0.107815,2.697000,373.731934,258.703949,0.602837,3.007616,0.856710,depth,1
1777901230.419644,-0.298310,0.106269,2.670000,373.657135,258.628571,0.607774,2.990206,0.869924,depth,1
1777901230.430770,-0.297847,0.106736,2.670000,373.731934,258.703949,0.603181,3.024845,0.856710,depth,1
1777901230.441898,-0.299632,0.107376,2.686000,373.731934,258.703949,0.603105,3.021042,0.856710,depth,1
1777901230.453026,-0.297847,0.106736,2.670000,373.731934,258.703949,0.603839,3.057716,0.856710,depth,1
