kind,hw_timestamp_s,host_timestamp_s,unified_time_s,x,y,z
accel,1777992390.604204,26353.575987,1777992390.604204,0.411879,-9.090764,1.255251
gyro,1777992390.607221,26353.575987,1777992390.607221,0.003196,0.003196,0.000532
accel,1777992390.615941,26353.587181,1777992390.615941,0.431493,-9.110377,1.255251
gyro,1777992390.617227,26353.587181,1777992390.617227,0.000000,-0.001065,-0.004260
accel,1777992390.627676,26353.598251,1777992390.627676,0.411879,-9.129991,1.255251
gyro,1777992390.627231,26353.598251,1777992390.627231,0.002129,-0.002129,-0.001597
accel,1777992390.639411,26353.609374,1777992390.639411,0.411879,-9.129991,1.255251
gyro,1777992390.637236,26353.609374,1777992390.637236,0.004793,0.006924,-0.002662
accel,1777992390.651145,26353.620628,1777992390.651145,0.431493,-9.129991,1.255251
gyro,1777992390.652244,26353.620628,1777992390.652244,0.003196,-0.004260,-0.003728
accel,1777992390.662882,26353.631611,1777992390.662882,0.411879,-9.149604,1.235638
gyro,1777992390.662249,26353.631611,1777992390.662249,-0.001597,0.002662,-0.004793
accel,1777992390.674619,26353.642757,1777992390.674619,0.411879,-9.129991,1.235638
gyro,1777992390.672254,26353.642757,1777992390.672254,0.003728,0.001597,-0.001065
accel,1777992390.682444,26353.653982,1777992390.682444,0.411879,-9.110377,1.274864
gyro,1777992390.682259,26353.653982,1777992390.682259,0.002662,0.002129,-0.002129
accel,1777992390.694180,26353.665034,1777992390.694180,0.411879,-9.110377,1.255251
gyro,1777992390.692265,26353.665034,1777992390.692265,-0.002129,0.000000,-0.003728
accel,1777992390.705916,26353.676167,1777992390.705916,0.411879,-9.090764,1.274864
gyro,1777992390.707273,26353.676167,1777992390.707273,-0.005325,0.002662,0.000532
accel,1777992390.717653,26353.687580,1777992390.717653,0.411879,-9.110377,1.235638
gyro,1777992390.717279,26353.687580,1777992390.717279,-0.001065,0.001597,-0.000532
accel,1777992390.729388,26353.698400,1777992390.729388,0.451106,-9.110377,1.255251
gyro,1777992390.727284,26353.698400,1777992390.727284,0.001065,-0.003728,-0.001597
accel,1777992390.741124,26353.709526,1777992390.741124,0.411879,-9.110377,1.255251
gyro,1777992390.737290,26353.709526,1777992390.737290,-0.000532,0.003728,-0.001597
accel,1777992390.748949,26353.720715,1777992390.748949,0.411879,-9.110377,1.235638
gyro,1777992390.752298,26353.720715,1777992390.752298,-0.003196,0.000000,-0.002662
accel,1777992390.760686,26353.731786,1777992390.760686,0.411879,-9.129991,1.255251
gyro,1777992390.762303,26353.731786,1777992390.762303,0.001597,0.003728,0.003196
accel,1777992390.772423,26353.742911,1777992390.772423,0.411879,-9.110377,1.294478
gyro,1777992390.772309,26353.742911,1777992390.772309,0.001065,-0.001597,-0.004260
accel,1777992390.784161,26353.754159,1777992390.784161,0.411879,-9.110377,1.255251
gyro,1777992390.782314,26353.754159,1777992390.782314,0.000000,0.001065,-0.004793
accel,1777992390.795898,26353.765173,1777992390.795898,0.431493,-9.110377,1.225831
gyro,1777992390.792319,26353.765173,1777992390.792319,0.002662,0.006924,-0.001065
accel,1777992390.807635,26353.776307,1777992390.807635,0.431493,-9.110377,1.255251
gyro,1777992390.807328,26353.776307,1777992390.807328,-0.006391,-0.002129,-0.003196
accel,1777992390.815460,26353.787605,1777992390.815460,0.402073,-9.129991,1.255251
gyro,1777992390.817332,26353.787605,1777992390.817332,0.002129,0.004260,-0.001597
accel,1777992390.827198,26353.798564,1777992390.827198,0.431493,-9.110377,1.235638
gyro,1777992390.827338,26353.798564,1777992390.827338,0.001597,0.003728,-0.000532
accel,1777992390.838937,26353.809699,1777992390.838937,0.431493,-9.129991,1.235638
gyro,1777992390.837343,26353.809699,1777992390.837343,0.001065,-0.002129,-0.005325
accel,1777992390.850675,26353.820979,1777992390.850675,0.431493,-9.129991,1.274864
gyro,1777992390.852351,26353.820979,1777992390.852351,0.000000,0.001065,-0.002662
accel,1777992390.862412,26353.831921,1777992390.862412,0.431493,-9.110377,1.255251
